class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,16.11,f,h,e,f,e,f,w,17.91,17.88,s,y,w,u,w,t,p,,d,u
p,15.67,x,g,o,f,e,d,w,19.25,19.52,s,y,w,u,w,t,p,,d,w
p,11.35,x,h,e,f,e,f,w,16.96,15.39,s,y,w,u,w,t,p,,d,a
p,14.52,x,g,o,f,e,d,w,17.04,17.57,s,y,w,u,w,t,p,,d,u
p,16.3,f,h,e,f,e,f,w,18.25,16.66,s,y,w,u,w,t,p,,d,w
p,14.29,x,h,o,f,e,f,w,17.87,18.0,s,y,w,u,w,t,g,,d,u
p,12.29,x,g,o,f,e,c,w,16.84,16.26,s,y,w,u,w,t,p,,d,u
p,13.66,f,h,o,f,e,d,w,17.73,17.29,s,y,w,u,w,t,g,,d,w
p,14.55,f,h,e,f,e,f,w,16.94,17.9,s,y,w,u,w,t,p,,d,w
p,14.97,f,g,e,f,e,c,w,18.45,17.51,s,y,w,u,w,t,g,,d,u
p,13.06,x,h,o,f,e,c,w,15.72,16.19,s,y,w,u,w,t,g,,d,w
p,14.0,f,h,e,f,e,d,w,16.57,16.04,s,y,w,u,w,t,p,,d,w
p,13.93,f,h,e,f,e,d,w,16.65,16.86,s,y,w,u,w,t,p,,d,w
p,17.91,f,g,o,f,e,f,w,17.63,18.15,s,y,w,u,w,t,p,,d,w
p,13.43,f,g,e,f,e,d,w,16.13,16.25,s,y,w,u,w,t,p,,d,w
p,13.04,f,h,o,f,e,f,w,17.99,17.49,s,y,w,u,w,t,g,,d,a
p,17.1,x,g,e,f,e,d,w,18.96,18.94,s,y,w,u,w,t,g,,d,w
p,15.07,f,h,e,f,e,c,w,18.33,18.88,s,y,w,u,w,t,g,,d,w
p,15.03,f,h,e,f,e,c,w,18.81,18.36,s,y,w,u,w,t,p,,d,w
p,16.37,f,h,e,f,e,f,w,17.96,18.69,s,y,w,u,w,t,p,,d,a
p,11.02,f,g,o,f,e,f,w,15.98,16.02,s,y,w,u,w,t,g,,d,u
p,17.61,f,g,e,f,e,f,w,18.35,17.91,s,y,w,u,w,t,g,,d,u
p,17.54,f,h,o,f,e,f,w,18.2,17.76,s,y,w,u,w,t,g,,d,w
p,16.77,x,h,o,f,e,c,w,18.02,19.96,s,y,w,u,w,t,p,,d,a
p,16.21,f,h,o,f,e,c,w,17.29,17.29,s,y,w,u,w,t,p,,d,a
p,14.94,x,g,e,f,e,f,w,17.5,18.26,s,y,w,u,w,t,g,,d,a
p,14.74,f,h,o,f,e,f,w,18.42,18.5,s,y,w,u,w,t,g,,d,w
p,15.97,x,h,o,f,e,c,w,16.42,16.89,s,y,w,u,w,t,g,,d,u
p,13.56,x,g,e,f,e,d,w,17.3,17.96,s,y,w,u,w,t,g,,d,u
p,15.42,f,g,o,f,e,c,w,18.34,18.24,s,y,w,u,w,t,g,,d,u
p,13.49,x,g,o,f,e,f,w,17.6,17.44,s,y,w,u,w,t,g,,d,a
p,14.96,f,g,e,f,e,c,w,17.96,17.37,s,y,w,u,w,t,p,,d,u
p,13.46,f,g,o,f,e,f,w,16.92,15.3,s,y,w,u,w,t,p,,d,w
p,16.59,f,g,o,f,e,c,w,18.93,18.51,s,y,w,u,w,t,p,,d,u
p,14.98,x,g,e,f,e,f,w,17.35,17.7,s,y,w,u,w,t,p,,d,a
p,13.7,f,h,e,f,e,f,w,17.04,17.74,s,y,w,u,w,t,g,,d,u
p,14.92,x,g,e,f,e,d,w,18.07,17.02,s,y,w,u,w,t,g,,d,u
p,14.75,f,h,e,f,e,c,w,16.76,17.24,s,y,w,u,w,t,g,,d,w
p,11.77,x,g,o,f,e,d,w,16.96,15.57,s,y,w,u,w,t,g,,d,u
p,16.37,f,h,o,f,e,d,w,18.21,18.8,s,y,w,u,w,t,g,,d,w
p,13.89,f,g,e,f,e,c,w,17.83,17.66,s,y,w,u,w,t,g,,d,w
p,11.71,f,h,e,f,e,f,w,16.47,16.1,s,y,w,u,w,t,g,,d,a
p,15.5,f,h,o,f,e,f,w,17.92,18.09,s,y,w,u,w,t,p,,d,u
p,15.93,x,h,e,f,e,f,w,16.86,16.9,s,y,w,u,w,t,p,,d,u
p,17.73,f,h,e,f,e,c,w,19.19,18.16,s,y,w,u,w,t,p,,d,a
p,17.23,f,h,e,f,e,c,w,17.45,17.79,s,y,w,u,w,t,g,,d,a
p,14.14,x,g,o,f,e,d,w,16.89,17.97,s,y,w,u,w,t,p,,d,w
p,12.86,x,g,o,f,e,c,w,16.4,16.98,s,y,w,u,w,t,g,,d,a
p,16.79,f,g,o,f,e,f,w,18.81,18.09,s,y,w,u,w,t,g,,d,a
p,14.18,f,h,e,f,e,d,w,17.87,18.2,s,y,w,u,w,t,p,,d,a
p,13.56,x,h,e,f,e,d,w,17.14,16.74,s,y,w,u,w,t,g,,d,w
p,13.64,x,h,e,f,e,d,w,16.74,16.93,s,y,w,u,w,t,p,,d,w
p,13.49,x,h,o,f,e,f,w,16.73,17.51,s,y,w,u,w,t,p,,d,w
p,13.33,f,h,o,f,e,c,w,19.25,18.76,s,y,w,u,w,t,p,,d,w
p,12.87,f,h,e,f,e,f,w,16.52,17.5,s,y,w,u,w,t,g,,d,w
p,14.36,x,h,e,f,e,d,w,17.87,17.87,s,y,w,u,w,t,p,,d,u
p,14.39,f,g,e,f,e,c,w,17.55,17.24,s,y,w,u,w,t,g,,d,w
p,14.17,x,h,e,f,e,d,w,17.47,17.07,s,y,w,u,w,t,g,,d,w
p,12.31,f,g,e,f,e,d,w,17.02,16.01,s,y,w,u,w,t,p,,d,w
p,14.77,x,h,e,f,e,c,w,16.61,17.06,s,y,w,u,w,t,g,,d,w
p,15.02,f,h,e,f,e,d,w,16.89,17.26,s,y,w,u,w,t,p,,d,u
p,17.13,x,h,e,f,e,d,w,16.46,16.83,s,y,w,u,w,t,g,,d,u
p,13.68,f,g,o,f,e,f,w,18.22,17.47,s,y,w,u,w,t,g,,d,a
p,15.0,x,g,e,f,e,c,w,18.12,17.13,s,y,w,u,w,t,g,,d,w
p,13.5,x,h,e,f,e,f,w,15.51,15.17,s,y,w,u,w,t,p,,d,a
p,13.94,x,h,e,f,e,d,w,17.65,17.49,s,y,w,u,w,t,p,,d,u
p,14.62,f,g,e,f,e,d,w,17.41,17.65,s,y,w,u,w,t,g,,d,u
p,13.76,f,g,o,f,e,c,w,17.89,17.87,s,y,w,u,w,t,p,,d,w
p,14.77,x,h,e,f,e,d,w,16.72,16.51,s,y,w,u,w,t,p,,d,a
p,18.14,x,g,o,f,e,c,w,18.49,19.13,s,y,w,u,w,t,p,,d,u
p,16.58,f,h,o,f,e,f,w,18.74,18.32,s,y,w,u,w,t,g,,d,w
p,13.06,x,g,e,f,e,c,w,18.18,19.12,s,y,w,u,w,t,p,,d,u
p,15.48,x,g,o,f,e,f,w,16.79,16.48,s,y,w,u,w,t,g,,d,w
p,16.1,f,g,o,f,e,d,w,17.66,17.28,s,y,w,u,w,t,g,,d,w
p,15.02,x,g,o,f,e,d,w,16.27,16.81,s,y,w,u,w,t,g,,d,a
p,14.13,x,h,e,f,e,c,w,17.28,16.55,s,y,w,u,w,t,g,,d,a
p,16.03,f,g,o,f,e,c,w,18.22,18.37,s,y,w,u,w,t,p,,d,w
p,13.82,x,h,o,f,e,d,w,15.69,15.73,s,y,w,u,w,t,p,,d,a
p,15.89,x,g,o,f,e,d,w,17.82,18.03,s,y,w,u,w,t,g,,d,u
p,17.22,f,h,e,f,e,d,w,18.26,18.23,s,y,w,u,w,t,p,,d,w
p,16.97,x,g,o,f,e,f,w,17.37,16.59,s,y,w,u,w,t,g,,d,w
p,12.96,f,h,e,f,e,d,w,16.0,16.6,s,y,w,u,w,t,p,,d,a
p,14.8,x,g,e,f,e,d,w,18.13,17.66,s,y,w,u,w,t,g,,d,w
p,13.42,f,g,o,f,e,d,w,17.86,17.84,s,y,w,u,w,t,g,,d,w
p,13.44,f,g,e,f,e,f,w,16.74,16.54,s,y,w,u,w,t,p,,d,u
p,15.16,x,g,o,f,e,f,w,17.94,17.35,s,y,w,u,w,t,g,,d,a
p,14.24,f,h,o,f,e,f,w,16.7,17.07,s,y,w,u,w,t,p,,d,a
p,18.59,x,g,o,f,e,d,w,18.3,18.82,s,y,w,u,w,t,p,,d,u
p,16.92,x,g,e,f,e,f,w,18.35,18.14,s,y,w,u,w,t,g,,d,a
p,14.63,f,h,o,f,e,c,w,16.62,15.93,s,y,w,u,w,t,p,,d,w
p,14.71,f,g,e,f,e,f,w,18.65,17.98,s,y,w,u,w,t,g,,d,w
p,14.84,x,g,e,f,e,d,w,18.23,18.18,s,y,w,u,w,t,g,,d,u
p,11.69,f,g,e,f,e,c,w,17.18,17.11,s,y,w,u,w,t,p,,d,a
p,15.29,f,g,e,f,e,f,w,17.75,16.37,s,y,w,u,w,t,g,,d,w
p,15.57,x,g,e,f,e,d,w,18.24,18.41,s,y,w,u,w,t,p,,d,a
p,17.58,x,h,o,f,e,f,w,16.86,17.49,s,y,w,u,w,t,g,,d,u
p,13.64,f,h,e,f,e,f,w,16.64,17.59,s,y,w,u,w,t,p,,d,u
p,17.25,x,h,e,f,e,f,w,17.8,17.3,s,y,w,u,w,t,g,,d,u
p,17.84,f,h,o,f,e,c,w,18.83,18.54,s,y,w,u,w,t,g,,d,w
p,15.48,x,h,e,f,e,c,w,17.41,17.4,s,y,w,u,w,t,p,,d,w
p,14.45,x,g,e,f,e,c,w,17.63,17.66,s,y,w,u,w,t,g,,d,a
p,15.79,f,h,e,f,e,f,w,18.85,18.13,s,y,w,u,w,t,p,,d,w
p,17.38,x,g,o,f,e,f,w,19.27,18.81,s,y,w,u,w,t,g,,d,a
p,14.91,f,g,o,f,e,c,w,18.38,16.07,s,y,w,u,w,t,p,,d,w
p,16.98,f,g,o,f,e,f,w,17.16,16.65,s,y,w,u,w,t,p,,d,w
p,14.99,f,h,o,f,e,d,w,17.19,16.21,s,y,w,u,w,t,g,,d,a
p,16.62,x,g,o,f,e,f,w,18.54,18.01,s,y,w,u,w,t,p,,d,a
p,13.95,f,h,o,f,e,f,w,17.08,15.9,s,y,w,u,w,t,g,,d,u
p,14.27,x,h,e,f,e,d,w,17.35,16.87,s,y,w,u,w,t,p,,d,u
p,17.38,f,h,o,f,e,d,w,17.53,18.3,s,y,w,u,w,t,g,,d,u
p,13.05,x,g,o,f,e,c,w,17.87,17.76,s,y,w,u,w,t,g,,d,a
p,14.45,f,h,e,f,e,d,w,17.43,17.44,s,y,w,u,w,t,p,,d,u
p,15.88,f,h,o,f,e,c,w,17.73,19.16,s,y,w,u,w,t,p,,d,a
p,15.28,f,g,o,f,e,f,w,17.97,17.87,s,y,w,u,w,t,g,,d,w
p,16.16,f,g,o,f,e,c,w,17.93,17.41,s,y,w,u,w,t,g,,d,a
p,15.47,f,h,e,f,e,c,w,17.56,18.38,s,y,w,u,w,t,p,,d,u
p,14.05,x,g,o,f,e,d,w,16.85,17.07,s,y,w,u,w,t,p,,d,w
p,15.02,f,h,o,f,e,f,w,16.62,16.6,s,y,w,u,w,t,g,,d,u
p,16.22,x,g,o,f,e,d,w,18.56,18.15,s,y,w,u,w,t,p,,d,u
p,14.94,f,h,e,f,e,c,w,16.6,16.85,s,y,w,u,w,t,g,,d,u
p,13.22,f,g,o,f,e,d,w,17.72,16.43,s,y,w,u,w,t,p,,d,w
p,13.66,x,h,o,f,e,c,w,16.81,16.98,s,y,w,u,w,t,g,,d,u
p,13.45,f,g,o,f,e,f,w,15.84,16.16,s,y,w,u,w,t,g,,d,w
p,14.42,x,h,e,f,e,f,w,17.03,16.57,s,y,w,u,w,t,g,,d,w
p,10.58,x,h,o,f,e,d,w,16.33,15.53,s,y,w,u,w,t,g,,d,w
p,16.68,x,h,e,f,e,c,w,17.19,17.11,s,y,w,u,w,t,p,,d,a
p,15.66,f,h,o,f,e,c,w,18.24,18.33,s,y,w,u,w,t,p,,d,a
p,15.71,f,g,e,f,e,f,w,18.02,17.98,s,y,w,u,w,t,g,,d,a
p,12.42,f,h,e,f,e,f,w,18.01,17.71,s,y,w,u,w,t,p,,d,u
p,18.68,x,h,o,f,e,d,w,18.63,19.09,s,y,w,u,w,t,p,,d,u
p,16.82,f,h,o,f,e,f,w,17.78,18.03,s,y,w,u,w,t,g,,d,a
p,15.35,f,h,e,f,e,d,w,17.27,17.54,s,y,w,u,w,t,p,,d,w
p,14.34,f,h,o,f,e,f,w,16.02,15.99,s,y,w,u,w,t,p,,d,w
p,13.99,x,g,e,f,e,d,w,15.42,15.85,s,y,w,u,w,t,g,,d,u
p,15.72,f,g,e,f,e,d,w,17.88,16.98,s,y,w,u,w,t,p,,d,u
p,15.73,x,h,o,f,e,d,w,18.6,17.93,s,y,w,u,w,t,g,,d,a
p,16.51,x,g,e,f,e,f,w,17.86,17.96,s,y,w,u,w,t,g,,d,a
p,13.23,f,g,e,f,e,d,w,16.41,16.39,s,y,w,u,w,t,p,,d,u
p,13.68,x,h,e,f,e,c,w,18.15,18.21,s,y,w,u,w,t,g,,d,a
p,15.42,f,h,e,f,e,d,w,18.08,17.78,s,y,w,u,w,t,p,,d,w
p,15.37,f,h,o,f,e,c,w,17.01,17.29,s,y,w,u,w,t,g,,d,u
p,17.31,x,g,e,f,e,f,w,16.94,18.47,s,y,w,u,w,t,p,,d,a
p,14.84,f,h,o,f,e,c,w,16.79,18.0,s,y,w,u,w,t,g,,d,w
p,13.43,f,g,e,f,e,d,w,16.88,17.61,s,y,w,u,w,t,g,,d,u
p,16.39,x,g,e,f,e,f,w,18.94,18.58,s,y,w,u,w,t,g,,d,u
p,11.7,x,h,o,f,e,f,w,16.01,16.33,s,y,w,u,w,t,g,,d,u
p,12.6,x,g,o,f,e,c,w,17.81,15.5,s,y,w,u,w,t,p,,d,w
p,16.16,f,g,o,f,e,f,w,16.73,16.79,s,y,w,u,w,t,p,,d,u
p,12.67,x,g,o,f,e,f,w,15.68,15.29,s,y,w,u,w,t,g,,d,a
p,15.52,x,g,o,f,e,f,w,16.95,17.44,s,y,w,u,w,t,g,,d,u
p,15.26,x,g,o,f,e,d,w,18.99,18.03,s,y,w,u,w,t,p,,d,w
p,16.2,x,g,e,f,e,f,w,17.39,17.53,s,y,w,u,w,t,p,,d,u
p,15.27,f,h,e,f,e,f,w,17.17,16.97,s,y,w,u,w,t,p,,d,u
p,14.28,x,g,e,f,e,f,w,17.77,17.12,s,y,w,u,w,t,p,,d,u
p,15.03,f,g,o,f,e,f,w,16.71,16.74,s,y,w,u,w,t,g,,d,a
p,18.1,x,g,e,f,e,f,w,18.35,18.7,s,y,w,u,w,t,g,,d,w
p,16.69,f,g,o,f,e,d,w,17.0,17.45,s,y,w,u,w,t,p,,d,w
p,11.3,x,h,o,f,e,d,w,15.69,16.34,s,y,w,u,w,t,g,,d,u
p,13.99,f,h,e,f,e,f,w,16.71,16.23,s,y,w,u,w,t,p,,d,u
p,13.62,f,h,e,f,e,f,w,17.6,17.3,s,y,w,u,w,t,g,,d,a
p,14.49,f,g,e,f,e,d,w,16.77,17.22,s,y,w,u,w,t,g,,d,w
p,14.16,x,g,e,f,e,f,w,16.44,17.34,s,y,w,u,w,t,g,,d,w
p,18.89,x,g,o,f,e,c,w,18.23,17.94,s,y,w,u,w,t,p,,d,a
p,13.03,x,h,o,f,e,d,w,16.72,16.85,s,y,w,u,w,t,p,,d,u
p,12.8,x,g,e,f,e,c,w,16.48,16.24,s,y,w,u,w,t,g,,d,u
p,14.42,x,h,o,f,e,c,w,18.2,18.06,s,y,w,u,w,t,g,,d,u
p,16.11,f,g,e,f,e,f,w,17.95,18.61,s,y,w,u,w,t,p,,d,a
p,15.61,x,g,e,f,e,d,w,17.62,17.79,s,y,w,u,w,t,g,,d,w
p,15.58,f,g,e,f,e,f,w,18.14,17.96,s,y,w,u,w,t,g,,d,u
p,15.98,x,h,e,f,e,f,w,18.08,18.66,s,y,w,u,w,t,p,,d,a
p,15.62,f,h,o,f,e,c,w,18.48,17.75,s,y,w,u,w,t,p,,d,u
p,16.79,x,g,e,f,e,f,w,17.98,16.76,s,y,w,u,w,t,g,,d,a
p,13.6,f,h,o,f,e,d,w,16.32,16.09,s,y,w,u,w,t,g,,d,u
p,16.08,f,g,o,f,e,f,w,17.33,18.09,s,y,w,u,w,t,g,,d,a
p,16.78,f,h,o,f,e,c,w,17.81,17.92,s,y,w,u,w,t,g,,d,u
p,16.26,f,h,o,f,e,c,w,17.31,17.3,s,y,w,u,w,t,g,,d,a
p,12.59,x,h,e,f,e,d,w,15.47,15.77,s,y,w,u,w,t,p,,d,w
p,16.68,x,h,e,f,e,c,w,19.01,17.55,s,y,w,u,w,t,p,,d,a
p,14.72,x,g,o,f,e,d,w,17.66,18.03,s,y,w,u,w,t,g,,d,w
p,16.07,x,g,o,f,e,f,w,17.23,17.76,s,y,w,u,w,t,p,,d,u
p,5.95,p,g,n,f,e,c,w,7.54,12.73,c,y,w,u,w,t,p,,d,u
p,6.51,x,g,n,f,e,c,w,6.8,12.92,e,y,w,u,w,t,p,,d,a
p,7.66,x,g,n,f,e,f,w,8.55,14.98,e,y,w,u,w,t,p,,d,a
p,6.4,x,g,n,f,e,c,w,7.68,14.68,r,y,w,u,w,t,p,,d,u
p,7.06,p,g,n,f,e,c,w,7.26,12.03,b,y,w,u,w,t,p,,d,u
p,6.32,x,g,n,f,e,c,w,7.66,15.84,s,y,w,u,w,t,p,,d,a
p,8.8,x,g,n,f,e,f,w,8.44,16.56,u,y,w,u,w,t,p,,d,u
p,7.5,p,g,n,f,e,c,w,6.37,11.75,c,y,w,u,w,t,p,,d,u
p,6.44,p,g,n,f,e,c,w,7.61,13.59,s,y,w,u,w,t,p,,d,u
p,6.64,p,g,n,f,e,c,w,7.14,12.48,u,y,w,u,w,t,p,,d,a
p,6.93,x,g,n,f,e,d,w,7.99,14.23,e,y,w,u,w,t,p,,d,u
p,8.23,x,g,n,f,e,d,w,8.2,15.67,c,y,w,u,w,t,p,,d,a
p,7.37,x,g,n,f,e,d,w,7.8,13.6,z,y,w,u,w,t,p,,d,a
p,8.49,p,g,n,f,e,c,w,8.35,15.7,c,y,w,u,w,t,p,,d,u
p,5.92,x,g,n,f,e,f,w,7.47,12.44,b,y,w,u,w,t,p,,d,u
p,8.91,x,g,n,f,e,c,w,9.11,16.66,b,y,w,u,w,t,p,,d,u
p,8.71,x,g,n,f,e,f,w,8.8,16.46,z,y,w,u,w,t,p,,d,u
p,7.09,p,g,n,f,e,c,w,7.97,11.93,e,y,w,u,w,t,p,,d,a
p,8.08,x,g,n,f,e,c,w,8.22,16.67,c,y,w,u,w,t,p,,d,u
p,7.63,x,g,n,f,e,f,w,7.97,13.44,c,y,w,u,w,t,p,,d,u
p,6.39,x,g,n,f,e,c,w,8.03,13.86,c,y,w,u,w,t,p,,d,u
p,6.86,x,g,n,f,e,d,w,8.04,16.3,z,y,w,u,w,t,p,,d,u
p,8.85,p,g,n,f,e,d,w,8.58,15.18,r,y,w,u,w,t,p,,d,a
p,7.73,p,g,n,f,e,f,w,9.09,16.3,e,y,w,u,w,t,p,,d,a
p,6.5,p,g,n,f,e,d,w,8.46,16.14,c,y,w,u,w,t,p,,d,a
p,7.2,x,g,n,f,e,d,w,7.69,15.52,b,y,w,u,w,t,p,,d,a
p,6.63,x,g,n,f,e,f,w,7.95,15.63,r,y,w,u,w,t,p,,d,a
p,6.83,x,g,n,f,e,c,w,7.8,16.88,z,y,w,u,w,t,p,,d,u
